ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,unknown_1a,unknown_1b,unknown_2,variationValue_1,variationValue_2,variationValue_3,variationValue_4,variationValue_5,variationValue_6,variationValue_7,variationValue_8,variationValue_9,variationValue_10,modifier1,modifier2,modifier3,variationIconId_1,variationIconId_2,variationIconId_3,variationIconId_4,variationIconId_5,variationIconId_6,variationIconId_7,variationIconId_8,variationIconId_9,variationIconId_10,
3000,Fort A (Open Fort),1,0,[0|0|0],10,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,Fort B (Sewer Fort),1,0,[0|0|0],10,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,42600,0,0,0,0,0,0,0,0
3200,Encampment A (Standard),1,0,[0|0|0],5,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3210,Encampment B (Tower),1,0,[0|0|0],5,0,2,10,10,10,0,0,0,0,0,0,0,0,0,0,0,42601,42602,0,0,0,0,0,0,0
3220,Encampment C (Ruined),1,0,[0|0|0],5,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,42601,42610,0,0,0,0,0,0,0,0
3400,Ruins A,1,0,[0|0|0],5,0,2,10,10,10,10,0,0,0,0,0,0,0,0,0,0,42606,42608,42603,0,0,0,0,0,0
3410,Ruins B,1,0,[0|0|0],5,0,2,10,10,10,10,10,0,0,0,0,0,0,0,0,42604,42604,42600,42608,42609,0,0,0,0,0
3420,Ruins C,1,0,[0|0|0],5,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,42607,0,0,0,0,0,0,0,0,0
3430,Ruins D,1,0,[0|0|0],5,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,42602,0,0,0,0,0,0,0,0,0
3790,Township,1,0,[0|0|0],10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3800,Temple A (Above ground),1,0,[0|0|0],10,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,42603,0,0,0,0,0,0,0,0,0
3810,Temple B (Underground),1,0,[0|0|0],10,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,42601,0,0,0,0,0,0,0,0,0
4000,Sorcerer's Rise A,1,0,[0|0|0],10,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4030,,0,0,[0|0|0],10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
