ID,label
20000,格诺斯塔入侵
20100,陨石坠落
20300,漫步陵庙
20400,陨石坠落
20500,漫步陵庙
20600,陨石坠落
20800,陨石坠落
20900,陨石坠落
21000,陨石坠落
21100,陨石坠落
21200,未知事件
21300,陨石坠落
21400,漫步陵庙
21500,陨石坠落
30000,要塞 - 骑士队长
30001,要塞 - 铁处女
30300,要塞 - 魔像
30301,要塞 - 结晶人们
32000,大营地 - 失乡骑士
32001,大营地 - 老狮子
32100,大营地 - 狮子混种
32101,大营地 - 红狮子骑士
32102,大营地 - 王城骑士
32200,大营地- 火焰战车
32201,大营地 - 癫火山妖
34000,废墟 - 归树看门犬
34001,废墟 - 鲜血贵族
34002,废墟 - 萨米尔古英雄
34003,废墟 - 白金之子
34100,废墟 - 调香师
34101,废墟 - 堕落调香师
34102,废墟 - 战斗魔法师
34103,废墟 - 白金之子射手
34104,废墟 - 卢恩熊
34200,废墟 - 蚯蚓脸
34300,废墟 - 法姆亚兹拉的兽人
37900,城镇商人
38000,大教堂 - 神谕使者
38001,大教堂 - 魔像
38100,大教堂 - 火焰修习武士
38101,大教堂 - 灵庙骑士
40000,魔法塔 - 正门上方
40001,魔法塔 - 小恶魔雕像
40002,魔法塔 - 枯树
40003,魔法塔 - 水池倒影
40004,魔法塔 - 外侧木平台
40005,魔法塔 - 风吹动的草丛
40006,魔法塔 - 假封印
40007,魔法塔 - 逃跑的树桩
40008,魔法塔 - 门旁蜡烛
40009,魔法塔 - 隐藏墙壁
41000,玛莉卡教堂
41010,玛莉卡教堂（老鼠）
41011,玛莉卡教堂（老鼠）
43000,小营地 - 士兵和狗
43001,小营地 - 弓箭士兵
43010,小营地 - 流浪贵族
43011,小营地 - 士兵和贵族
43020,小营地 - 士兵
43400,小营地 - 狗群
43401,小营地 - 混种
43410,小营地 - 亚人
43411,小营地 - 老鼠和亚人
43501,小营地 - 罪人
44010,祷告小屋
45000,小营地 - 棺材车
45010,小营地 - 商队棺材车
45510,黑刀刺客
45530,入侵事件 - 格诺斯塔
45550,入侵事件 - 恶魔利普拉
46502,封印监牢 - 噩兆之子
46503,封印监牢 - 守墓战士
46504,封印监牢 - 法姆亚兹拉的兽人
46505,封印监牢 - 混种集团
46510,红狼
46520,龙装大树守卫
46530,大树守卫
46540,卡利亚骑士
46550,狮子混种
46560,灵珠猎人
46570,老狮子
46580,飞龙
46590,王室幽魂
46602,封印监牢 - 结晶人
46603,封印监牢 - 肤王们
46604,封印监牢 - 失乡骑士
46605,封印监牢 - 诺克斯战士
46606,封印监牢 - 猎犬骑士
46620,黑夜骑兵
46630,腐败树灵
46640,祖灵
46650,接肢贵族
46660,黑剑眷属
46670,黄金树化身
46680,熔岩土龙
46690,萨米尔古英雄
46700,封印监牢 - 龙人士兵
46701,封印监牢 - 神皮使徒
46702,封印监牢 - 神皮贵族
46703,封印监牢 - 熔炉骑士（剑盾）
46704,封印监牢 - 熔炉骑士（大矛）
46710,米兰达花朵
46720,黄金河马
46740,死亡仪式鸟
46770,亚人女王
46800,封印监牢 - 死亡仪式鸟
46801,封印监牢 - 古龙
46802,封印监牢 - 神皮双人组
46810,黑刀刺客
46820,红狼
46860,狮子混种
46870,灵珠猎人
46880,王室幽魂
46910,接肢贵族
46950,萨米尔古英雄
48402,夜晚BOSS - 蒙格特
48502,夜晚BOSS - 龙装大树守卫和王城骑兵
48602,夜晚BOSS - 大树守卫和王城骑兵
48802,夜晚BOSS - 神皮双人组
49102,夜晚BOSS - 接肢君王葛瑞克
49172,英雄石像鬼
49182,大熔岩土龙
49202,坠星成兽
49212,死亡仪式鸟
49232,诺克斯龙人士兵
49242,灵珠猎人
49252,熔炉骑士和黄金河马
49262,偏地老将
49272,战场老将
49282,黑夜骑兵们
49292,亚人女王和亚人剑圣
49302,王室幽魂
49400,持秤商人利普拉
49410,主城 - 失乡骑士
49420,主城 - 投壶山妖
49430,主城 - 熔炉骑士
49902,腐败树灵
50001,洞窟dlc 腐败眷属
50011,洞窟dlc 蜘蛛和蝎子
50020,洞窟dlc 寒冰鳌虾
50030,洞窟dlc 杜鹃骑士
50040,洞窟dlc 尊腐骑士
50050,洞窟dlc 流放民族
50060,洞窟dlc 鲜血贵族
50100,村落dlc 噩兆之子
50102,村落dlc 血血怪
50103,村落dlc 死骑士
50104,村落dlc 神鸟战士
50112,村落dlc 守墓斗士
50113,村落dlc 黑焰修习武士
50114,村落dlc 噩兆之子猎人
50116,村落dlc 祖灵之民战士
51000,玛莉卡教堂
51050,
51051,
51100,魔法塔 dlc 正门上方
51101,魔法塔 dlc 小恶魔雕像
51102,魔法塔 dlc 枯树
51103,魔法塔 dlc 水池倒影
51104,魔法塔 dlc 外侧木平台
51105,魔法塔 dlc 风吹动的草丛
51106,魔法塔 dlc 假封印
51107,魔法塔 dlc 逃跑的树桩
51108,魔法塔 dlc 门旁蜡烛
51109,魔法塔 dlc 隐藏墙壁
51150,
52400,大教堂dlc 圣
52420,大教堂dlc 冻伤
52450,大教堂dlc 睡眠
52460,大教堂dlc 雷
52500,废墟dlc 出血
52520,废墟dlc 毒
52550,废墟dlc 魔法
52570,废墟dlc 睡眠
53000,
53050,
53990,超级商人
