id,smallBaseMapId,variationId,label,sublabel
20000,2000,0,入侵事件???,格诺斯塔
20100,2010,0,陨石坠落,
20300,2030,0,漫步陵庙,
20400,2040,0,陨石坠落,
20500,2050,0,漫步陵庙,
20600,2060,0,陨石坠落,
20800,2080,0,陨石坠落,
20900,2090,0,陨石坠落,
21000,2100,0,陨石坠落,
21100,2110,0,陨石坠落,
21200,2120,0,城镇商人???,
21300,2130,0,陨石坠落,
21400,2140,0,漫步陵庙,
21500,2150,0,陨石坠落,
30000,3000,0,要塞,骑士队长
30001,3000,1,要塞,铁处女
30300,3030,0,要塞,魔像
30301,3030,1,要塞,结晶人们
32000,3200,0,大营地,失乡骑士
32001,3200,1,大营地,老狮子
32100,3210,0,大营地,狮子混种
32101,3210,1,大营地,红狮子骑士
32102,3210,2,大营地,王城骑士
32200,3220,0,大营地,火焰战车
32201,3220,1,大营地,癫火山妖
34000,3400,0,废墟,归树看门犬
34001,3400,1,废墟,鲜血贵族
34002,3400,2,废墟,萨米尔古英雄
34003,3400,3,废墟,白金之子
34100,3410,0,废墟,调香师
34101,3410,1,废墟,堕落调香师
34102,3410,2,废墟,战斗魔法师
34103,3410,3,废墟,白金之子射手
34104,3410,4,废墟,卢恩熊
34200,3420,0,废墟,蚯蚓脸
34300,3430,0,废墟,法姆亚兹拉的兽人
37900,3790,0,城镇商人,
38000,3800,0,大教堂,神谕使者
38001,3800,1,大教堂,魔像
38100,3810,0,大教堂,火焰修习武士
38101,3810,1,大教堂,灵庙骑士
40000,4000,0,魔法塔,正门上方
40001,4000,1,魔法塔,小恶魔雕像
40002,4000,2,魔法塔,枯树
40003,4000,3,魔法塔,水池倒影
40004,4000,4,魔法塔,外侧木平台
40005,4000,5,魔法塔,风吹动的草丛
40006,4000,6,魔法塔,假封印
40007,4000,7,魔法塔,逃跑的树桩
40008,4000,8,魔法塔,门旁蜡烛
40009,4000,9,魔法塔,隐藏墙壁
40900,4090,0,远古魔法塔,
40901,4090,1,远古魔法塔,
40904,4090,4,远古魔法塔,
40905,4090,5,远古魔法塔,
40907,4090,7,远古魔法塔,
40908,4090,8,远古魔法塔,
41000,4100,0,玛莉卡教堂,
41010,4101,0,玛莉卡教堂,老鼠
41011,4101,1,玛莉卡教堂,老鼠
41300,4130,0,腐败要塞,
43000,4300,0,小营地,士兵和狗
43001,4300,1,小营地,弓箭士兵
43010,4301,0,小营地,流浪贵族
43011,4301,1,小营地,士兵和贵族
43020,4302,0,小营地,士兵
43300,4330,0,小营地,祖灵之民？
43301,4330,1,小营地,祖灵之民？
43400,4340,0,小营地,狗群
43401,4340,1,小营地,混种
43410,4341,0,小营地,亚人
43411,4341,1,小营地,老鼠和亚人
43501,4350,1,小营地,罪人
44010,4401,0,祷告小屋,
45000,4500,0,小营地,货车
45010,4501,0,小营地,商队货车
45510,4551,0,黑刀刺客,
45520,4552,0,水泡现踪???,
45530,4553,0,入侵事件,格诺斯塔
45550,4555,0,入侵事件,恶魔利普拉
46000,4600,0,入侵事件,黑夜势力
46010,4601,0,入侵事件,黑夜势力
46020,4602,0,入侵事件,黑夜势力
46030,4603,0,入侵事件,黑夜势力
46040,4604,0,入侵事件,黑夜势力
46050,4605,0,入侵事件,黑夜势力
46060,4606,0,入侵事件,黑夜势力
46502,4650,2,封印监牢,噩兆之子
46503,4650,3,封印监牢,守墓战士
