boss,map,bossId1,id,playArea1_posX,playArea1_gridXNo,extraBossId1,playArea2_gridZNo,isdlc,playArea2_posZ,playArea2_posX,bossId2,playArea1_posZ,extraBossId2,playArea1_gridZNo,playArea2_gridXNo
0,0,4929,1,-54,42,-1,39,false,18,82,4860,21,-1,38,45
0,0,4924,2,-54,42,-1,36,false,-29,88,4840,61,-1,39,43
0,0,4924,3,26,42,-1,37,false,82,-48,4840,-4,-1,36,45
0,0,4929,4,-34,44,-1,36,false,-29,88,4860,-22,-1,39,43
0,0,4929,5,82,45,-1,38,false,-62,-84,4840,18,-1,39,43
0,0,4929,6,-53,44,-1,39,false,61,-54,4840,64,-1,37,42
0,0,4924,7,-48,45,-1,36,false,88,-75,4840,82,-1,37,43
0,0,4924,8,-88,45,-1,38,false,-62,-84,4840,96,-1,36,43
0,0,4924,9,82,45,-1,38,false,21,-54,4840,18,-1,39,42
0,0,4924,10,-54,42,-1,37,false,64,-53,4840,61,-1,39,44
0,0,4929,11,82,45,-1,38,false,21,-54,4860,18,-1,39,42
0,0,4929,12,-75,43,-1,37,false,82,-48,4860,88,-1,36,45
0,0,4929,13,-54,42,-1,37,false,-58,17,4840,61,-1,39,43
0,0,4924,14,-34,44,-1,36,false,-4,26,4860,-22,-1,39,42
0,0,4924,15,-48,45,-1,36,false,-29,88,4860,82,-1,37,43
0,0,4929,16,26,42,-1,36,false,96,-88,4860,-4,-1,36,45
0,0,4924,17,-54,42,-1,36,false,-4,26,4860,21,-1,38,42
0,0,4924,18,-48,45,-1,36,false,88,-75,4860,82,-1,37,43
0,0,4929,19,88,43,-1,39,false,-22,-34,4840,-29,-1,36,44
0,1,4924,20,88,43,-1,38,false,35.82,-26.54,4860,-29,-1,36,43
0,1,4924,21,82,45,-1,38,false,35.82,-26.54,4840,18,-1,39,43
0,1,4929,22,82,45,-1,38,false,35.82,-26.54,4860,18,-1,39,43
0,1,4924,23,82,45,-1,38,false,35.82,-26.54,4840,18,-1,39,43
0,1,4929,24,-88,45,-1,38,false,35.82,-26.54,4840,96,-1,36,43
0,2,4924,25,-54,42,-1,39,false,96.707,88.99,4860,21,-1,38,43
0,2,4929,26,17,43,-1,39,false,96.707,88.99,4860,-58,-1,37,43
0,2,4929,27,82,45,-1,39,false,96.707,88.99,4840,18,-1,39,43
0,2,4924,28,-75,43,-1,39,false,96.707,88.99,4840,88,-1,36,43
0,2,4924,29,-48,45,-1,39,false,96.707,88.99,4840,82,-1,37,43
0,3,4929,30,82,45,-1,36,false,91.352,48.9,4840,18,-1,39,44
0,3,4929,31,-54,42,-1,36,false,91.352,48.9,4840,61,-1,39,44
0,3,4924,32,-54,42,-1,36,false,91.352,48.9,4860,61,-1,39,44
0,3,4929,33,82,45,-1,36,false,91.352,48.9,4840,18,-1,39,44
0,3,4924,34,-54,42,-1,36,false,91.352,48.9,4860,21,-1,38,44
0,5,4929,35,-54,42,-1,37,false,41.32,36.38,4840,21,-1,38,43
0,5,4924,36,82,45,-1,37,false,41.32,36.38,4840,18,-1,39,43
0,5,4924,37,82,45,-1,37,false,41.32,36.38,4860,18,-1,39,43
0,5,4929,38,82,45,-1,37,false,41.32,36.38,4860,18,-1,39,43
0,5,4929,39,-54,42,-1,37,false,41.32,36.38,4840,21,-1,38,43
1,0,4928,40,-54,42,-1,36,false,96,-88,4919,21,-1,38,45
1,0,4780,41,-48,45,-1,36,false,-4,26,4919,82,-1,37,42
1,0,4800,42,82,45,-1,36,false,88,-75,4925,18,-1,39,43
1,0,4890,43,-48,45,-1,38,false,21,-54,4919,82,-1,37,42
1,0,4780,44,-54,42,-1,36,false,88,-75,4919,21,-1,38,43
1,0,4928,45,17,43,-1,39,false,-22,-34,4926,-58,-1,37,44
1,0,4800,46,-48,45,-1,38,false,-62,-84,4919,82,4923,37,43
1,0,4780,47,-48,45,-1,36,false,-4,26,4919,82,4921,37,42
1,0,4928,48,-84,43,-1,39,false,18,82,4926,-62,-1,38,45
1,0,4800,49,88,43,-1,38,false,21,-54,4925,-29,-1,36,42
1,0,4917,50,-75,43,-1,39,false,-22,-34,4926,88,-1,36,44
1,0,4800,51,-54,42,-1,36,false,88,-75,4919,21,-1,38,43
1,0,4928,52,88,43,-1,39,false,61,-54,4925,-29,-1,36,42
1,0,4917,53,-75,43,-1,39,false,-22,-34,4925,88,-1,36,44
1,0,4917,54,26,42,-1,37,false,82,-48,4919,-4,-1,36,45
1,0,4890,55,-54,42,-1,36,false,-29,88,4926,21,-1,38,43
1,0,4890,56,82,45,-1,36,false,-29,88,4919,18,-1,39,43
1,0,4917,57,-84,43,-1,36,false,-29,88,4919,-62,-1,38,43
1,0,4890,58,-54,42,-1,37,false,-58,17,4926,61,-1,39,43
1,0,4780,59,-75,43,-1,39,false,18,82,4925,88,-1,36,45
1,1,4800,60,-88,45,-1,38,false,35.82,-26.54,4919,96,-1,36,43
1,1,4780,61,82,45,-1,38,false,35.82,-26.54,4925,18,-1,39,43
1,1,4890,62,-88,45,-1,38,false,35.82,-26.54,4926,96,-1,36,43
1,1,4917,63,26,42,-1,38,false,35.82,-26.54,4925,-4,-1,36,43
1,1,4928,64,-48,45,-1,38,false,35.82,-26.54,4919,82,-1,37,43
1,2,4917,65,88,43,-1,39,false,96.707,88.99,4925,-29,-1,36,43
1,2,4780,66,-75,43,-1,39,false,96.707,88.99,4926,88,-1,36,43
1,2,4928,67,-88,45,-1,39,false,96.707,88.99,4919,96,-1,36,43
1,2,4800,68,-54,42,-1,39,false,96.707,88.99,4919,21,4925,38,43
1,2,4890,69,17,43,-1,39,false,96.707,88.99,4925,-58,-1,37,43
1,3,4917,70,-84,43,4810,36,false,91.352,48.9,4919,-62,-1,38,44
1,3,4800,71,-75,43,-1,37,false,53.865,-30.535,4926,88,-1,36,45
1,3,4890,72,26,42,-1,36,false,91.352,48.9,4926,-4,-1,36,44
1,3,4780,73,-54,42,-1,37,false,53.865,-30.535,4919,21,-1,38,45
1,3,4928,74,-34,44,-1,37,false,53.865,-30.535,4925,-22,-1,39,45
1,5,4917,75,82,45,-1,37,false,41.32,36.38,4926,18,-1,39,43
1,5,4928,76,-54,42,-1,37,false,41.32,36.38,4919,61,-1,39,43
1,5,4800,77,82,45,-1,37,false,41.32,36.38,4925,18,-1,39,43
1,5,4890,78,-54,42,-1,37,false,41.32,36.38,4926,61,-1,39,43
1,5,4780,79,-54,42,-1,37,false,41.32,36.38,4919,61,-1,39,43
2,0,4770,80,88,43,-1,39,false,18,82,4918,-29,-1,36,45
2,0,4810,81,88,43,-1,38,false,-62,-84,4923,-29,-1,36,43
2,0,4810,82,88,43,-1,38,false,21,-54,4923,-29,-1,36,42
2,0,4927,83,-53,44,-1,36,false,-4,26,4850,64,-1,37,42
2,0,4770,84,-54,42,-1,39,false,-22,-34,4850,21,-1,38,44
2,0,4770,85,-88,45,-1,38,false,21,-54,4923,96,-1,36,42
2,0,4810,86,82,45,-1,39,false,61,-54,4850,18,-1,39,42
2,0,4927,87,-54,42,-1,37,false,64,-53,4850,21,-1,38,44
2,0,4990,88,-48,45,-1,39,false,61,-54,4918,82,-1,37,42
2,0,4810,89,82,45,-1,38,false,-62,-84,4923,18,-1,39,43
2,0,4790,90,-75,43,-1,37,false,82,-48,4923,88,-1,36,45
2,0,4790,91,-34,44,-1,36,false,-4,26,4918,-22,-1,39,42
2,0,4927,92,-34,44,-1,39,false,61,-54,4923,-22,-1,39,42
2,0,4990,93,-54,42,-1,38,false,-62,-84,4918,61,-1,39,43
2,0,4927,94,17,43,-1,39,false,18,82,4918,-58,-1,37,45
2,0,4990,95,-34,44,-1,37,false,-58,17,4850,-22,-1,39,43
2,0,4990,96,-54,42,-1,36,false,96,-88,4918,21,-1,38,45
2,0,4790,97,-54,42,-1,36,false,88,-75,4918,21,-1,38,43
2,0,4770,98,17,43,-1,39,false,18,82,4918,-58,-1,37,45
2,0,4790,99,-54,42,-1,39,false,18,82,4850,21,-1,38,45
2,1,4810,100,26,42,-1,38,false,35.82,-26.54,4850,-4,-1,36,43
2,1,4790,101,82,45,-1,38,false,35.82,-26.54,4918,18,-1,39,43
2,1,4770,102,-88,45,-1,38,false,35.82,-26.54,4850,96,-1,36,43
2,1,4927,103,82,45,-1,38,false,35.82,-26.54,4918,18,-1,39,43
2,1,4990,104,26,42,-1,38,false,35.82,-26.54,4923,-4,-1,36,43
2,2,4790,105,17,43,-1,39,false,96.707,88.99,4923,-58,-1,37,43
2,2,4770,106,-53,44,-1,39,false,96.707,88.99,4923,64,-1,37,43
2,2,4810,107,-88,45,-1,39,false,96.707,88.99,4850,96,-1,36,43
2,2,4990,108,88,43,-1,39,false,96.707,88.99,4850,-29,-1,36,43
2,2,4927,109,-53,44,-1,39,false,96.707,88.99,4850,64,-1,37,43
2,3,4810,110,-54,42,-1,36,false,91.352,48.9,4918,21,-1,38,44
2,3,4790,111,82,45,-1,36,false,91.352,48.9,4918,18,-1,39,44
2,3,4990,112,-75,43,-1,37,false,53.865,-30.535,4923,88,-1,36,45
2,3,4770,113,-34,44,-1,36,false,91.352,48.9,4850,-22,-1,39,44
2,3,4927,114,82,45,-1,36,false,91.352,48.9,4923,18,-1,39,44
2,5,4990,115,-54,42,-1,37,false,41.32,36.38,4850,21,-1,38,43
2,5,4790,116,82,45,-1,37,false,41.32,36.38,4923,18,-1,39,43
2,5,4927,117,-54,42,-1,37,false,41.32,36.38,4918,21,-1,38,43
2,5,4770,118,-54,42,-1,37,false,41.32,36.38,4918,21,-1,38,43
2,5,4810,119,-54,42,-1,37,false,41.32,36.38,4923,21,-1,38,43
3,0,4780,120,88,43,-1,38,false,21,-54,4880,-29,-1,36,42
3,0,4917,121,-54,42,-1,39,false,18,82,4860,21,-1,38,45
3,0,4890,122,-88,45,-1,38,false,-62,-84,4880,96,-1,36,43
3,0,4780,123,-34,44,-1,39,false,61,-54,4860,-22,-1,39,42
3,0,4890,124,26,42,-1,36,false,96,-88,4920,-4,-1,36,45
3,0,4810,125,-53,44,-1,39,false,61,-54,4920,64,-1,37,42
3,0,4917,126,88,43,-1,38,false,21,-54,4860,-29,-1,36,42
3,0,4910,127,-34,44,-1,36,false,88,-75,4920,-22,-1,39,43
3,0,4810,128,-88,45,-1,38,false,-62,-84,4860,96,-1,36,43
3,0,4910,129,-48,45,-1,36,false,88,-75,4860,82,-1,37,43
3,0,4810,130,-75,43,-1,39,false,61,-54,4920,88,-1,36,42
3,0,4780,131,-48,45,-1,38,false,21,-54,4920,82,-1,37,42
3,0,4810,132,-54,42,-1,37,false,82,-48,4880,21,-1,38,45
3,0,4917,133,-34,44,-1,37,false,-58,17,4920,-22,-1,39,43
3,0,4890,134,-53,44,-1,36,false,-4,26,4860,64,-1,37,42
3,0,4780,135,-75,43,-1,39,false,18,82,4920,88,-1,36,45
3,0,4890,136,-54,42,-1,37,false,-58,17,4880,61,-1,39,43
3,0,4917,137,82,45,-1,36,false,88,-75,4880,18,-1,39,43
3,0,4910,138,82,45,-1,38,false,-62,-84,4880,18,-1,39,43
3,0,4910,139,17,43,-1,39,false,18,82,4920,-58,-1,37,45
3,1,4917,140,26,42,-1,38,false,35.82,-26.54,4860,-4,-1,36,43
3,1,4910,141,-48,45,-1,38,false,35.82,-26.54,4880,82,-1,37,43
3,1,4810,142,-48,45,-1,38,false,35.82,-26.54,4920,82,-1,37,43
3,1,4890,143,-48,45,-1,38,false,35.82,-26.54,4860,82,-1,37,43
3,1,4780,144,-88,45,-1,38,false,35.82,-26.54,4920,96,-1,36,43
3,2,4890,145,-48,45,-1,39,false,96.707,88.99,4880,82,-1,37,43
3,2,4810,146,-54,42,-1,39,false,96.707,88.99,4920,21,-1,38,43
3,2,4910,147,88,43,-1,39,false,96.707,88.99,4920,-29,-1,36,43
3,2,4780,148,82,45,-1,39,false,96.707,88.99,4860,18,-1,39,43
3,2,4917,149,-54,42,-1,39,false,96.707,88.99,4880,21,-1,38,43
3,3,4890,150,-84,43,-1,36,false,91.352,48.9,4860,-62,-1,38,44
3,3,4780,151,-54,42,-1,36,false,91.352,48.9,4920,21,-1,38,44
3,3,4910,152,-54,42,-1,36,false,91.352,48.9,4920,21,-1,38,44
3,3,4810,153,-84,43,-1,37,false,53.865,-30.535,4880,-62,-1,38,45
3,3,4917,154,-54,42,-1,36,false,91.352,48.9,4880,21,-1,38,44
3,5,4910,155,82,45,-1,37,false,41.32,36.38,4880,18,-1,39,43
3,5,4780,156,-54,42,-1,37,false,41.32,36.38,4920,21,-1,38,43
3,5,4917,157,82,45,-1,37,false,41.32,36.38,4860,18,-1,39,43
3,5,4810,158,-54,42,-1,37,false,41.32,36.38,4920,21,-1,38,43
3,5,4890,159,-54,42,-1,37,false,41.32,36.38,4880,21,-1,38,43
4,0,4927,160,-54,42,-1,39,false,-22,-34,4925,61,-1,39,44
4,0,4770,161,-75,43,-1,39,false,-22,-34,4921,88,-1,36,44
4,0,4790,162,-54,42,-1,36,false,96,-88,4921,61,-1,39,45
4,0,4770,163,-34,44,-1,36,false,-4,26,4925,-22,-1,39,42
4,0,4790,164,26,42,-1,36,false,96,-88,4880,-4,-1,36,45
4,0,4927,165,-54,42,-1,37,false,64,-53,4921,61,-1,39,44
4,0,4800,166,17,43,-1,39,false,18,82,4925,-58,-1,37,45
4,0,4800,167,-48,45,-1,38,false,-62,-84,4921,82,-1,37,43
4,0,4930,168,-54,42,-1,39,false,-22,-34,4921,21,-1,38,44
4,0,4770,169,88,43,-1,38,false,-62,-84,4880,-29,-1,36,43
4,0,4930,170,-53,44,-1,36,false,-4,26,4921,64,-1,37,42
4,0,4800,171,-54,42,-1,39,false,-22,-34,4921,21,-1,38,44
4,0,4790,172,-53,44,-1,39,false,18,82,4880,64,-1,37,45
4,0,4800,173,-75,43,-1,39,false,61,-54,4921,88,-1,36,42
4,0,4790,174,82,45,-1,38,false,21,-54,4925,18,-1,39,42
4,0,4770,175,88,43,-1,39,false,61,-54,4925,-29,-1,36,42
4,0,4927,176,-54,42,-1,36,false,88,-75,4880,21,-1,38,43
4,0,4927,177,82,45,-1,37,false,64,-53,4921,18,-1,39,44
4,0,4930,178,82,45,-1,36,false,88,-75,4925,18,-1,39,43
4,0,4930,179,82,45,-1,37,false,64,-53,4921,18,-1,39,44
4,1,4930,180,88,43,-1,38,false,35.82,-26.54,4925,-29,-1,36,43
4,1,4790,181,-48,45,-1,38,false,35.82,-26.54,4880,82,-1,37,43
4,1,4927,182,88,43,-1,38,false,35.82,-26.54,4921,-29,-1,36,43
4,1,4800,183,88,43,-1,38,false,35.82,-26.54,4925,-29,-1,36,43
4,1,4770,184,88,43,-1,38,false,35.82,-26.54,4921,-29,-1,36,43
4,2,4790,185,-54,42,-1,39,false,96.707,88.99,4921,21,-1,38,43
4,2,4930,186,-75,43,-1,39,false,96.707,88.99,4880,88,-1,36,43
4,2,4800,187,-75,43,-1,39,false,96.707,88.99,4925,88,-1,36,43
