variationType,variationId,id,spotId,patternId
1,3030,1,1,0
0,3420,2,1,1
0,3420,3,1,2
1,3000,4,1,3
0,3220,5,1,4
0,3420,6,1,5
2,3400,7,1,6
0,3220,8,1,7
3,3410,9,1,8
3,3400,10,1,9
0,3810,11,1,10
0,3000,12,1,11
1,3030,13,1,12
0,3030,14,1,13
1,3810,15,1,14
1,3410,16,1,15
0,2100,17,1,16
3,3410,18,1,17
0,3000,19,1,18
0,3420,20,1,19
0,3430,21,1,20
0,3200,22,1,21
3,3400,23,1,22
0,3810,24,1,23
1,3400,25,1,24
2,3210,26,1,30
1,3800,27,1,31
0,3210,28,1,32
1,3030,29,1,33
0,3430,30,1,34
2,3400,31,1,35
1,3810,32,1,36
4,3410,33,1,37
0,3800,34,1,38
1,3410,35,1,39
0,3030,36,1,40
2,3400,37,1,41
1,3410,38,1,42
1,3800,39,1,43
3,3400,40,1,44
3,3400,41,1,45
0,3220,42,1,46
2,3400,43,1,47
0,3410,44,1,48
0,3430,45,1,49
0,3810,46,1,50
1,3410,47,1,51
0,3200,48,1,52
0,3420,49,1,53
1,3810,50,1,54
0,3200,51,1,55
0,3220,52,1,56
0,3410,53,1,57
1,3200,54,1,58
0,3220,55,1,59
0,3200,56,1,60
3,3400,57,1,61
0,3200,58,1,62
1,3810,59,1,63
1,3400,60,1,64
0,3220,61,1,70
0,3220,62,1,71
1,3800,63,1,72
3,3400,64,1,73
3,3410,65,1,74
0,3200,66,1,75
0,3400,67,1,76
1,3220,68,1,77
0,3410,69,1,78
1,3800,70,1,79
0,3430,71,1,80
4,3410,72,1,81
0,3810,73,1,82
0,3400,74,1,83
0,3210,75,1,84
1,3030,76,1,85
2,3410,77,1,86
0,3810,78,1,87
0,3000,79,1,88
1,3030,80,1,89
0,3210,81,1,90
3,3410,82,1,91
4,3410,83,1,92
0,3200,84,1,93
1,3200,85,1,94
0,3200,86,1,95
0,3410,87,1,96
4,3410,88,1,97
2,3410,89,1,98
0,3410,90,1,99
1,3030,91,1,100
0,3800,92,1,101
0,3200,93,1,102
0,3210,94,1,103
1,3800,95,1,104
0,3000,96,1,110
1,3000,97,1,111
1,3030,98,1,112
0,3810,99,1,113
0,3220,100,1,114
1,3800,101,1,115
1,3200,102,1,116
1,3810,103,1,117
1,3000,104,1,118
1,3400,105,1,119
1,3400,106,1,120
2,3210,107,1,121
1,3220,108,1,122
2,3210,109,1,123
1,3220,110,1,124
1,3410,111,1,125
1,3030,112,1,126
1,3810,113,1,127
0,3810,114,1,128
3,3410,115,1,129
2,3410,116,1,130
2,3400,117,1,131
1,3220,118,1,132
0,3800,119,1,133
1,3030,120,1,134
1,3220,121,1,135
0,3000,122,1,136
1,3000,123,1,137
0,3400,124,1,138
