maps,id,gridXNo,posX,posZ,gridZNo,attachIds,variations,patterns
_,1,44,2.5599999999999454,243.20000000000005,37,110_2110,_,_
_,2,41,225.28,209.91999999999996,38,103_2103,_,_
_,3,42,232.95999999999998,110.07999999999993,39,107_2107,_,_
_,4,44,74.240000000000009,192.0,38,2112_112_2127_127,_,_
_,5,42,53.759999999999991,212.48000000000002,37,120_2123_2124_123_124_2120,_,_
_,6,45,38.400000000000091,245.76,37,116_2116,_,_
_,7,42,46.079999999999984,148.48000000000002,36,2121_121_101_2101,_,_
_,8,44,125.44000000000005,186.88,37,111_2129_2111_129,_,_
_,9,43,0.0,179.20000000000005,38,106_2106,_,_
_,10,42,227.83999999999997,207.36,35,104_2104,_,_
_,11,43,204.79999999999995,179.2,36,2358_358_308_2308,_,_
_,12,41,207.36,97.279999999999973,38,2352_352_302_2302,_,_
_,13,45,43.519999999999982,97.279999999999973,38,313_2313,_,_
_,14,41,181.76,61.44,36,300_2350_350_2300,_,_
_,15,45,87.039999999999964,5.1200000000000045,37,312_2362_362_2312,_,_
_,16,43,56.32000000000005,84.480000000000018,36,305_2305,_,_
_,17,44,168.96000000000004,81.919999999999959,38,2364_364_314_2314,_,_
_,18,41,189.44,43.519999999999982,37,351_301_2351_2301,_,_
_,19,43,38.399999999999977,61.440000000000055,37,756_757_2756_2757,_,_
_,20,43,89.600000000000023,61.440000000000055,37,190_2190,_,_
_,21,44,79.360000000000014,51.200000000000045,39,761_2761,_,_
_,22,45,23.039999999999964,117.75999999999999,37,763_2763,_,_
_,23,43,25.600000000000023,53.759999999999991,36,755_2755,_,_
_,24,42,130.56,17.920000000000073,39,758_2758,_,_
_,25,42,69.12,89.599999999999909,39,754_2754,_,_
_,26,43,207.36,56.32000000000005,38,760_2760,_,_
_,27,44,153.60000000000002,209.92,35,762_2762,_,_
_,28,42,92.160000000000025,143.36,35,750_2750,_,_
_,29,43,84.480000000000018,89.600000000000023,38,759_2759,_,_
_,30,42,94.720000000000027,66.559999999999945,38,753_2753,_,_
_,31,41,232.96,217.60000000000002,36,620_2620,_,_
_,32,43,99.840000000000032,12.799999999999955,38,633,_,_
_,33,45,92.160000000000082,43.519999999999982,37,655,_,_
_,34,43,112.63999999999999,58.879999999999995,36,628_2628,_,_
_,35,42,128.0,128.0,38,637,_,_
_,36,44,166.39999999999998,232.96000000000004,38,660,_,_
_,37,45,112.6400000000001,48.639999999999986,38,658_2658,_,_
_,38,45,89.599999999999909,112.63999999999999,36,651_2651,_,_
_,39,44,215.03999999999996,181.76,37,659_2659,_,_
