id,isdlc,boss,map
1,false,0,0
2,false,0,0
3,false,0,0
4,false,0,0
5,false,0,0
6,false,0,0
7,false,0,0
8,false,0,0
9,false,0,0
10,false,0,0
11,false,0,0
12,false,0,0
13,false,0,0
14,false,0,0
15,false,0,0
16,false,0,0
17,false,0,0
18,false,0,0
19,false,0,0
20,false,0,1
21,false,0,1
22,false,0,1
23,false,0,1
24,false,0,1
25,false,0,2
26,false,0,2
27,false,0,2
28,false,0,2
29,false,0,2
30,false,0,3
31,false,0,3
32,false,0,3
33,false,0,3
34,false,0,3
35,false,0,5
36,false,0,5
37,false,0,5
38,false,0,5
39,false,0,5
40,false,1,0
41,false,1,0
42,false,1,0
43,false,1,0
44,false,1,0
45,false,1,0
46,false,1,0
47,false,1,0
48,false,1,0
49,false,1,0
50,false,1,0
51,false,1,0
52,false,1,0
53,false,1,0
54,false,1,0
55,false,1,0
56,false,1,0
57,false,1,0
58,false,1,0
59,false,1,0
60,false,1,1
61,false,1,1
62,false,1,1
63,false,1,1
64,false,1,1
65,false,1,2
66,false,1,2
67,false,1,2
68,false,1,2
69,false,1,2
70,false,1,3
71,false,1,3
72,false,1,3
73,false,1,3
74,false,1,3
75,false,1,5
76,false,1,5
77,false,1,5
78,false,1,5
79,false,1,5
80,false,2,0
81,false,2,0
82,false,2,0
83,false,2,0
84,false,2,0
85,false,2,0
86,false,2,0
87,false,2,0
88,false,2,0
89,false,2,0
90,false,2,0
91,false,2,0
92,false,2,0
93,false,2,0
94,false,2,0
95,false,2,0
96,false,2,0
97,false,2,0
98,false,2,0
99,false,2,0
100,false,2,1
101,false,2,1
102,false,2,1
103,false,2,1
104,false,2,1
105,false,2,2
106,false,2,2
107,false,2,2
108,false,2,2
109,false,2,2
110,false,2,3
111,false,2,3
112,false,2,3
113,false,2,3
114,false,2,3
115,false,2,5
116,false,2,5
117,false,2,5
118,false,2,5
119,false,2,5
120,false,3,0
121,false,3,0
122,false,3,0
123,false,3,0
124,false,3,0
125,false,3,0
126,false,3,0
127,false,3,0
128,false,3,0
129,false,3,0
130,false,3,0
