playArea1_gridZNo,id,extraBossId2,extraBossId1,playArea1_posZ,playArea1_gridXNo,playArea1_posX,bossId1,playArea2_posX,bossId2,playArea2_gridZNo,playArea2_posZ,playArea2_gridXNo
38,1,-1,-1,21,42,-54,4929,82,4860,39,18,45
39,2,-1,-1,61,42,-54,4924,88,4840,36,-29,43
36,3,-1,-1,-4,42,26,4924,-48,4840,37,82,45
39,4,-1,-1,-22,44,-34,4929,88,4860,36,-29,43
39,5,-1,-1,18,45,82,4929,-84,4840,38,-62,43
37,6,-1,-1,64,44,-53,4929,-54,4840,39,61,42
37,7,-1,-1,82,45,-48,4924,-75,4840,36,88,43
36,8,-1,-1,96,45,-88,4924,-84,4840,38,-62,43
39,9,-1,-1,18,45,82,4924,-54,4840,38,21,42
39,10,-1,-1,61,42,-54,4924,-53,4840,37,64,44
39,11,-1,-1,18,45,82,4929,-54,4860,38,21,42
36,12,-1,-1,88,43,-75,4929,-48,4860,37,82,45
39,13,-1,-1,61,42,-54,4929,17,4840,37,-58,43
39,14,-1,-1,-22,44,-34,4924,26,4860,36,-4,42
37,15,-1,-1,82,45,-48,4924,88,4860,36,-29,43
36,16,-1,-1,-4,42,26,4929,-88,4860,36,96,45
38,17,-1,-1,21,42,-54,4924,26,4860,36,-4,42
37,18,-1,-1,82,45,-48,4924,-75,4860,36,88,43
36,19,-1,-1,-29,43,88,4929,-34,4840,39,-22,44
36,20,-1,-1,-29,43,88,4924,-26.54,4860,38,35.82,43
39,21,-1,-1,18,45,82,4924,-26.54,4840,38,35.82,43
39,22,-1,-1,18,45,82,4929,-26.54,4860,38,35.82,43
39,23,-1,-1,18,45,82,4924,-26.54,4840,38,35.82,43
36,24,-1,-1,96,45,-88,4929,-26.54,4840,38,35.82,43
38,25,-1,-1,21,42,-54,4924,88.99,4860,39,96.707,43
37,26,-1,-1,-58,43,17,4929,88.99,4860,39,96.707,43
39,27,-1,-1,18,45,82,4929,88.99,4840,39,96.707,43
36,28,-1,-1,88,43,-75,4924,88.99,4840,39,96.707,43
37,29,-1,-1,82,45,-48,4924,88.99,4840,39,96.707,43
39,30,-1,-1,18,45,82,4929,48.9,4840,36,91.352,44
39,31,-1,-1,61,42,-54,4929,48.9,4840,36,91.352,44
39,32,-1,-1,61,42,-54,4924,48.9,4860,36,91.352,44
39,33,-1,-1,18,45,82,4929,48.9,4840,36,91.352,44
38,34,-1,-1,21,42,-54,4924,48.9,4860,36,91.352,44
38,35,-1,-1,21,42,-54,4929,36.38,4840,37,41.32,43
39,36,-1,-1,18,45,82,4924,36.38,4840,37,41.32,43
39,37,-1,-1,18,45,82,4924,36.38,4860,37,41.32,43
39,38,-1,-1,18,45,82,4929,36.38,4860,37,41.32,43
38,39,-1,-1,21,42,-54,4929,36.38,4840,37,41.32,43
38,40,-1,-1,21,42,-54,4928,-88,4919,36,96,45
37,41,-1,-1,82,45,-48,4780,26,4919,36,-4,42
39,42,-1,-1,18,45,82,4800,-75,4925,36,88,43
37,43,-1,-1,82,45,-48,4890,-54,4919,38,21,42
38,44,-1,-1,21,42,-54,4780,-75,4919,36,88,43
37,45,-1,-1,-58,43,17,4928,-34,4926,39,-22,44
37,46,4923,-1,82,45,-48,4800,-84,4919,38,-62,43
37,47,4921,-1,82,45,-48,4780,26,4919,36,-4,42
38,48,-1,-1,-62,43,-84,4928,82,4926,39,18,45
36,49,-1,-1,-29,43,88,4800,-54,4925,38,21,42
36,50,-1,-1,88,43,-75,4917,-34,4926,39,-22,44
38,51,-1,-1,21,42,-54,4800,-75,4919,36,88,43
