fixed,map,id
true,0,43_39_99.79_82.09
true,5,43_39_99.79_82.09
true,3,43_39_99.79_82.09
false,4,43_36_-94.91_121.09
false,0,42_39_81.27_-92.36
false,2,42_39_81.27_-92.36
false,5,42_39_81.27_-92.36
false,3,42_39_81.27_-92.36
false,0,43_39_86.78_3.42
false,5,43_39_86.78_3.42
false,3,43_39_86.78_3.42
true,4,43_38_71.02_107.58
true,4,42_38_106.06_82.51
true,4,44_38_13.91_-109.25
false,1,42_37_-66.00_44.00
true,2,42_37_-66.00_44.00
true,3,42_37_-66.00_44.00
true,0,42_37_-66.00_44.00
true,1,43_37_89.70_62.66
true,2,43_37_89.70_62.66
true,3,43_37_89.70_62.66
true,0,43_37_89.70_62.66
true,1,45_38_-86.00_81.00
true,2,45_38_-86.00_81.00
true,3,45_38_-86.00_81.00
true,0,45_38_-86.00_81.00
true,5,45_38_-86.00_81.00
true,1,43_37_-107.35_-74.35
true,2,43_37_-107.35_-74.35
true,3,43_37_-107.35_-74.35
true,0,43_37_-107.35_-74.35
true,0,42_39_69.86_90.74
true,5,42_39_69.86_90.74
true,2,42_39_69.86_90.74
true,3,42_39_69.86_90.74
false,1,42_36_111.35_-13.79
false,2,42_36_111.35_-13.79
false,3,42_36_111.35_-13.79
false,0,42_36_111.35_-13.79
true,3,44_37_72.97_39.88
true,4,42_38_17.52_-21.20
false,4,43_37_22.18_53.62
false,1,43_37_-50.23_-111.54
false,2,43_37_-50.23_-111.54
false,3,43_37_-50.23_-111.54
false,0,43_37_-50.23_-111.54
false,4,43_36_-91.67_25.97
true,1,42_37_45.00_-107.00
true,2,42_37_45.00_-107.00
true,3,42_37_45.00_-107.00
true,0,42_37_45.00_-107.00
false,1,44_36_-57.72_88.02
false,2,44_36_-57.72_88.02
false,0,44_36_-57.72_88.02
false,5,44_36_-57.72_88.02
false,0,43_38_-8.95_-23.48
false,5,43_38_-8.95_-23.48
true,1,45_37_4.00_-68.00
true,2,45_37_4.00_-68.00
true,0,45_37_4.00_-68.00
true,5,45_37_4.00_-68.00
false,1,44_37_-100.08_-3.66
false,2,44_37_-100.08_-3.66
false,0,44_37_-100.08_-3.66
false,1,44_36_-65.83_-26.80
false,2,44_36_-65.83_-26.80
false,0,44_36_-65.83_-26.80
false,5,44_36_-65.83_-26.80
false,1,42_37_-107.05_108.15
false,2,42_37_-107.05_108.15
false,3,42_37_-107.05_108.15
false,0,42_37_-107.05_108.15
true,4,42_38_18.14_-21.36
false,1,43_37_-88.09_104.64
false,2,43_37_-88.09_104.64
false,3,43_37_-88.09_104.64
false,0,43_37_-88.09_104.64
false,1,45_37_-90.47_96.33
false,2,45_37_-90.47_96.33
false,0,45_37_-90.47_96.33
false,5,45_37_-90.47_96.33
false,0,42_38_-84.22_115.12
false,5,42_38_-84.22_115.12
false,2,42_38_-84.22_115.12
false,3,42_38_-84.22_115.12
false,1,45_36_-2.33_-68.37
false,2,45_36_-2.33_-68.37
false,0,45_36_-2.33_-68.37
false,5,45_36_-2.33_-68.37
false,1,44_37_-82.64_-14.15
false,2,44_37_-82.64_-14.15
false,0,44_37_-82.64_-14.15
false,5,44_37_-82.64_-14.15
false,1,44_37_87.25_103.81
