id:int,map:int,boss:int,starter:int,isdlc:int,playArea1_gridXNo:int,playArea1_gridZNo:int,playArea1_posX:float,playArea1_posZ:float,playArea1_height:float,playArea2_gridXNo:int,playArea2_gridZNo:int,playArea2_posX:float,playArea2_posZ:float,playArea2_height:float,bossId1:int,bossId2:int,extraBossId1:int,extraBossId2:int
0,0,0,705,0,42,38,-54.0,21.0,0.0,45,39,82.0,18.0,0.0,4929,4860,-1,-1
1,0,0,703,0,42,38,-54.0,21.0,0.0,45,39,82.0,18.0,0.0,4929,4860,-1,-1
2,0,0,701,0,42,39,-54.0,61.0,0.0,43,36,88.0,-29.0,0.0,4924,4840,-1,-1
3,0,0,708,0,42,36,26.0,-4.0,0.0,45,37,-48.0,82.0,0.0,4924,4840,-1,-1
4,0,0,704,0,44,39,-34.0,-22.0,0.0,43,36,88.0,-29.0,0.0,4929,4860,-1,-1
5,0,0,705,0,45,39,82.0,18.0,0.0,43,38,-84.0,-62.0,0.0,4929,4840,-1,-1
6,0,0,703,0,44,37,-53.0,64.0,0.0,42,39,-54.0,61.0,0.0,4929,4840,-1,-1
7,0,0,707,0,45,37,-48.0,82.0,0.0,43,36,-75.0,88.0,0.0,4924,4840,-1,-1
8,0,0,700,0,45,36,-88.0,96.0,0.0,43,38,-84.0,-62.0,0.0,4924,4840,-1,-1
9,0,0,705,0,45,39,82.0,18.0,0.0,42,38,-54.0,21.0,0.0,4924,4840,-1,-1
10,0,0,700,0,42,39,-54.0,61.0,0.0,44,37,-53.0,64.0,0.0,4924,4840,-1,-1
11,0,0,707,0,45,39,82.0,18.0,0.0,42,38,-54.0,21.0,0.0,4929,4860,-1,-1
12,0,0,701,0,43,36,-75.0,88.0,0.0,45,37,-48.0,82.0,0.0,4929,4860,-1,-1
13,0,0,700,0,42,39,-54.0,61.0,0.0,43,37,17.0,-58.0,0.0,4929,4840,-1,-1
14,0,0,700,0,44,39,-34.0,-22.0,0.0,42,36,26.0,-4.0,0.0,4924,4860,-1,-1
15,0,0,706,0,45,37,-48.0,82.0,0.0,43,36,88.0,-29.0,0.0,4924,4860,-1,-1
16,0,0,706,0,42,36,26.0,-4.0,0.0,45,36,-88.0,96.0,0.0,4929,4860,-1,-1
