patternId:int,gridXNo:int,gridZNo:int,posX:float,posZ:float,height:float
30,44,36,98.66,-54.77,70.18
33,44,36,98.66,-54.77,70.18
70,44,36,98.66,-54.77,70.18
111,44,36,98.66,-54.77,70.18
112,44,36,98.66,-54.77,70.18
150,44,36,98.66,-54.77,70.18
154,44,36,98.66,-54.77,70.18
190,44,36,98.66,-54.77,70.18
231,44,36,98.66,-54.77,70.18
234,44,36,98.66,-54.77,70.18
273,44,36,98.66,-54.77,70.18
310,44,36,98.66,-54.77,70.18
312,44,36,98.66,-54.77,70.18
1171,44,36,98.66,-54.77,70.18
1173,44,36,98.66,-54.77,70.18
32,44,37,-24.1,-128.14,67.47
34,44,37,-24.1,-128.14,67.47
72,44,37,-24.1,-128.14,67.47
74,44,37,-24.1,-128.14,67.47
113,44,37,-24.1,-128.14,67.47
114,44,37,-24.1,-128.14,67.47
151,44,37,-24.1,-128.14,67.47
191,44,37,-24.1,-128.14,67.47
194,44,37,-24.1,-128.14,67.47
230,44,37,-24.1,-128.14,67.47
232,44,37,-24.1,-128.14,67.47
270,44,37,-24.1,-128.14,67.47
271,44,37,-24.1,-128.14,67.47
311,44,37,-24.1,-128.14,67.47
1110,44,37,-24.1,-128.14,67.47
1111,44,37,-24.1,-128.14,67.47
1112,44,37,-24.1,-128.14,67.47
1113,44,37,-24.1,-128.14,67.47
1114,44,37,-24.1,-128.14,67.47
1172,44,37,-24.1,-128.14,67.47
1174,44,37,-24.1,-128.14,67.47
31,45,37,97.22,-34.28,54.81
71,45,37,97.22,-34.28,54.81
73,45,37,97.22,-34.28,54.81
110,45,37,97.22,-34.28,54.81
152,45,37,97.22,-34.28,54.81
153,45,37,97.22,-34.28,54.81
192,45,37,97.22,-34.28,54.81
193,45,37,97.22,-34.28,54.81
233,45,37,97.22,-34.28,54.81
272,45,37,97.22,-34.28,54.81
274,45,37,97.22,-34.28,54.81
313,45,37,97.22,-34.28,54.81
314,45,37,97.22,-34.28,54.81
1170,45,37,97.22,-34.28,54.81
