attachId:int,map:int,dlc:int,rate:float,gridXNo:int,gridZNo:int,posX:float,posZ:float,height:float
108,0,0,1.0,44,36,45.0,98.0,87.0
125,0,0,1.0,44,36,45.0,98.0,87.0
126,0,0,1.0,44,36,45.0,98.0,87.0
110,0,0,1.0,44,38,2.0,-13.0,85.0
103,0,0,1.0,42,39,-30.0,-45.0,192.0
107,0,0,1.0,43,39,-24.0,111.0,198.0
112,0,0,1.0,44,39,73.0,-64.0,110.0
127,0,0,1.0,44,39,73.0,-64.0,110.0
120,0,0,1.0,42,38,53.0,-44.0,143.0
123,0,0,1.0,42,38,53.0,-44.0,143.0
124,0,0,1.0,42,38,53.0,-44.0,143.0
116,0,0,1.0,45,38,39.0,-9.0,35.0
121,0,0,1.0,42,37,45.0,-107.0,98.0
101,0,0,1.0,42,37,45.0,-107.0,98.0
129,0,0,1.0,44,38,126.0,-70.0,32.0
111,0,0,1.0,44,38,126.0,-70.0,32.0
106,0,0,1.0,43,39,0.0,-77.0,176.0
104,0,0,1.0,43,36,-29.0,-49.0,65.0
308,0,0,1.0,44,37,-52.0,-76.0,87.0
358,0,0,1.0,44,37,-52.0,-76.0,87.0
352,0,0,1.0,42,38,-48.0,98.46,192.0
302,0,0,1.0,42,38,-48.0,98.46,192.0
313,0,0,1.0,45,38,44.0,97.0,12.0
300,0,0,1.0,42,36,-74.0,62.0,92.0
350,0,0,1.0,42,36,-74.0,62.0,92.0
312,0,0,1.0,45,37,86.0,4.0,24.0
362,0,0,1.0,45,37,86.0,4.0,24.0
305,0,0,1.0,43,36,57.0,85.0,64.0
314,0,0,1.0,45,38,-86.0,81.0,58.0
364,0,0,1.0,45,38,-86.0,81.0,58.0
301,0,0,1.0,42,37,-66.0,44.0,159.0
351,0,0,1.0,42,37,-66.0,44.0,159.0
756,0,0,2.0,43,37,37.57,62.69,125.31
757,0,0,2.0,43,37,37.57,62.69,125.31
761,0,0,1.0,44,39,79.16,50.83,124.65
763,0,0,1.0,45,37,22.18,117.69,18.69
755,0,0,1.0,43,36,25.03,54.58,64.82
758,0,0,1.0,43,39,-124.81,19.15,219.86
754,0,0,1.0,42,39,69.86,90.74,209.89
760,0,0,1.0,44,38,-49.54,55.63,94.77
762,0,0,1.0,45,36,-102.93,-46.38,35.32
750,0,0,1.0,42,36,93.28,-111.43,75.15
759,0,0,1.0,43,39,84.86,-167.25,106.27
753,0,0,1.0,42,38,94.25,65.8,184.18
620,0,0,0.05,42,37,-22.38,-37.82,106.2
633,0,0,0.05,43,38,100.74,13.1,99.04
655,0,0,0.05,45,37,92.67,44.27,25.33
628,0,0,0.05,43,36,113.45,57.68,64.81
637,0,0,0.05,43,39,-127.64,-127.74,189.3
660,0,0,0.05,45,39,-89.46,-21.93,106.3
658,0,0,0.05,45,38,112.6,48.65,14.06
651,0,0,0.05,45,36,90.27,113.0,31.64
659,0,0,0.05,45,38,-40.69,-74.63,27.37
644,0,0,0.05,44,37,87.25,103.81,32.84
645,0,0,0.05,44,38,-101.01,-15.03,64.81
662,0,0,0.05,45,39,-104.67,107.68,118.05
616,0,0,0.05,42,36,-42.39,68.68,92.36
617,0,0,0.05,42,36,62.49,-106.94,77.46
643,0,0,0.05,44,37,12.25,39.28,54.97
653,0,0,0.05,45,36,-113.75,0.7,31.4
654,0,0,0.05,45,37,-82.28,-49.75,21.47
621,0,0,0.05,42,38,-68.29,-61.24,175.87
627,0,0,0.05,43,36,0.74,29.3,64.77
646,0,0,0.05,44,38,-58.99,-109.43,81.97
632,0,0,0.05,43,37,-88.09,104.64,100.38
641,0,0,0.05,44,36,-46.97,-120.19,77.78
661,0,0,0.05,45,39,1.06,-42.01,90.2
622,0,0,0.05,42,38,-84.22,115.12,197.85
650,0,0,0.05,44,39,30.98,81.92,140.97
619,0,0,0.05,42,37,21.34,46.81,106.29
648,0,0,0.05,44,39,-85.49,-98.42,141.04
647,0,0,0.05,44,38,13.31,107.03,121.12
