patternId:int,variationId:int,variationType:int,attachId:int
0,3810,0,126
0,3030,1,110
0,3030,0,103
0,3810,1,107
0,3210,2,112
0,3220,1,120
0,3210,1,116
0,3410,1,101
0,3430,0,111
0,3410,3,106
0,3410,1,104
0,4341,0,358
0,4100,0,302
0,4100,0,313
0,4100,0,300
0,4500,0,312
0,4000,8,305
0,4340,0,314
0,4300,0,301
0,4691,0,757
0,4664,0,756
0,4942,0,190
0,4674,0,761
0,4663,0,763
0,4656,0,755
0,4654,0,758
0,4662,0,754
0,4659,0,760
0,4672,0,762
0,4655,0,750
0,4657,0,759
0,4651,0,753
0,4605,0,620
0,4601,0,633
0,4600,0,655
0,4606,0,628
0,4603,0,637
0,4604,0,660
0,4602,0,658
0,4601,0,651
0,4603,0,659
0,4603,0,644
0,4600,0,645
0,4601,0,662
0,4604,0,616
0,4603,0,617
0,4605,0,643
0,4600,0,653
0,4603,0,654
0,4604,0,621
0,4603,0,627
0,4605,0,646
0,4603,0,632
0,4602,0,641
0,4602,0,661
0,4601,0,622
0,4604,0,650
0,4600,0,619
0,4601,0,648
0,4600,0,647
0,4600,0,618
0,4600,0,634
0,4601,0,638
0,4606,0,652
0,4601,0,623
0,4606,0,630
0,4602,0,640
0,4604,0,642
0,4606,0,639
0,4606,0,656
0,4606,0,631
0,4606,0,625
0,4605,0,657
0,4602,0,649
0,4606,0,635
0,4604,0,624
0,4605,0,629
0,4605,0,626
0,4605,0,615
0,4604,0,636
0,4660,5,602
0,4650,3,604
0,4670,3,606
0,4650,4,601
0,4660,4,605
0,4670,1,607
0,4660,6,603
0,3810,1,117
0,3410,1,109
0,3410,3,113
0,3410,3,100
0,3410,1,114
0,4500,0,306
0,4000,6,310
0,4300,0,307
1,3810,1,124
1,3030,1,113
1,3000,0,106
1,3810,0,100
1,3200,0,111
1,3210,0,103
1,3220,0,108
1,3400,2,116
1,3420,0,110
1,3410,0,107
1,3410,0,104
1,4501,0,356
1,4100,0,314
1,4100,0,305
1,4100,0,310
1,4500,0,312
1,4000,9,308
1,4340,0,300
1,4350,1,313
1,4687,0,757
1,4654,0,756
1,4943,0,190
1,4668,0,763
1,4674,0,750
1,4666,0,753
1,4663,0,761
1,4659,0,762
1,4665,0,758
1,4657,0,755
1,4655,0,760
1,4671,0,754
1,4669,0,759
1,4660,4,605
1,4650,5,604
1,4650,3,606
1,4670,4,601
1,4660,2,607
1,4670,0,602
1,4660,5,603
1,4940,0,712
1,3030,1,109
1,3210,0,101
1,3200,0,114
1,3220,0,117
1,3420,0,112
1,4000,6,302
1,4340,0,307
1,4350,1,301
2,3800,0,122
2,3030,1,113
2,3000,1,117
2,3810,1,101
2,3210,0,111
2,3200,1,120
2,3210,1,104
2,3410,2,108
2,3420,0,110
2,3410,3,103
2,3420,0,116
2,4301,0,351
2,4100,0,307
2,4100,0,314
2,4100,0,310
2,4500,0,306
2,4000,4,305
2,4350,1,312
2,4340,1,308
2,4688,0,757
2,4664,0,756
2,4941,0,190
2,4658,0,754
2,4663,0,763
2,4668,0,755
2,4652,0,760
2,4677,0,759
2,4655,0,753
2,4672,0,750
2,4665,0,762
2,4671,0,761
2,4651,0,758
2,4660,4,605
2,4650,4,606
2,4660,6,604
2,4670,4,601
2,4670,2,607
2,4660,5,602
2,4650,2,603
2,3030,1,106
2,3030,1,109
2,3800,0,112
2,3410,3,107
2,3410,2,114
2,4350,1,300
2,4340,1,302
2,4350,1,313
3,3810,0,129
3,3030,1,104
3,3000,1,110
3,3800,0,114
3,3210,1,101
3,3200,1,106
3,3220,1,116
3,3400,0,120
3,3410,0,112
3,3410,1,100
3,3410,1,113
3,4302,0,364
3,4100,0,306
3,4100,0,305
3,4100,0,313
3,4500,0,307
3,4000,5,302
3,4300,0,312
3,4350,1,310
3,4682,0,757
3,4674,0,756
3,4941,0,190
3,4652,0,754
3,4653,0,761
3,4654,0,763
3,4663,0,750
3,4665,0,759
3,4655,0,762
3,4671,0,755
3,4551,0,760
3,4657,0,753
3,4669,0,758
3,4660,5,604
3,4670,0,605
3,4660,2,602
3,4650,3,607
3,4650,5,601
3,4670,1,606
3,4660,4,603
3,3410,1,109
3,3410,1,117
3,3400,0,103
3,3400,0,108
3,3410,1,107
3,3790,0,308
3,4000,8,300
3,4300,0,301
4,3800,1,125
4,3030,1,107
4,3000,1,101
4,3800,0,111
4,3220,0,110
4,3200,1,116
4,3200,0,113
4,3420,0,104
4,3400,1,117
4,3400,0,106
4,3420,0,109
4,4301,0,357
4,4100,0,306
4,4100,0,301
4,4100,0,310
4,4500,0,312
4,4000,8,305
4,4350,1,313
4,4300,1,308
4,4695,0,757
4,4668,0,756
4,4941,0,190
4,4664,0,762
4,4658,0,754
4,4652,0,759
4,4667,0,750
4,4657,0,760
4,4665,0,753
4,4671,0,763
4,4672,0,758
4,4655,0,755
4,4659,0,761
4,4606,0,646
4,4605,0,661
4,4600,0,619
4,4604,0,653
4,4602,0,642
4,4603,0,625
4,4601,0,657
4,4604,0,627
4,4605,0,617
4,4600,0,628
4,4600,0,638
4,4605,0,662
4,4604,0,632
4,4604,0,654
4,4604,0,647
4,4602,0,660
4,4600,0,618
4,4601,0,615
4,4604,0,648
4,4606,0,629
4,4606,0,651
4,4606,0,624
4,4601,0,623
4,4603,0,630
4,4604,0,633
4,4603,0,649
4,4605,0,631
4,4606,0,635
4,4601,0,626
4,4600,0,639
4,4603,0,621
4,4600,0,655
4,4603,0,643
4,4605,0,659
4,4605,0,645
4,4606,0,616
4,4606,0,620
4,4605,0,644
4,4600,0,656
4,4602,0,636
4,4601,0,658
4,4601,0,641
4,4603,0,622
4,4601,0,650
4,4602,0,634
4,4606,0,640
4,4602,0,652
4,4603,0,637
4,4670,3,606
4,4660,2,602
4,4660,4,605
4,4660,5,601
4,4650,3,607
4,4670,1,604
4,4650,2,603
4,3030,1,112
4,3200,1,103
4,3400,1,120
4,3400,1,100
4,3420,0,114
4,3790,0,314
4,4500,0,302
4,4000,6,300
5,3800,1,126
5,3030,1,100
5,3000,1,111
5,3800,0,109
5,3200,1,106
5,3200,0,112
5,3220,0,120
5,3410,0,104
5,3400,0,117
5,3420,0,114
5,3420,0,103
5,4501,0,358
5,4100,0,301
5,4100,0,307
5,4100,0,312
5,4500,0,306
5,4000,9,300
5,4300,1,310
5,4300,0,313
5,4691,0,757
5,4654,0,756
5,4943,0,190
5,4666,0,759
5,4658,0,755
5,4674,0,762
5,4668,0,754
5,4672,0,758
5,4651,0,753
5,4659,0,761
5,4657,0,763
5,4669,0,750
5,4662,0,760
5,4606,0,657
5,4600,0,650
5,4603,0,652
5,4602,0,627
5,4604,0,626
5,4605,0,635
5,4601,0,616
5,4600,0,618
5,4600,0,617
5,4605,0,658
5,4604,0,619
5,4603,0,659
5,4604,0,655
5,4606,0,624
5,4604,0,636
5,4606,0,662
5,4606,0,648
5,4606,0,631
5,4604,0,643
5,4601,0,656
5,4604,0,647
5,4601,0,622
5,4605,0,645
5,4604,0,644
5,4600,0,660
5,4600,0,661
5,4603,0,651
5,4601,0,625
5,4602,0,642
5,4602,0,629
5,4600,0,620
5,4605,0,639
5,4603,0,641
5,4605,0,621
5,4606,0,632
5,4601,0,653
5,4601,0,638
5,4602,0,634
5,4601,0,633
5,4606,0,628
5,4605,0,637
5,4605,0,615
5,4603,0,646
5,4606,0,623
5,4600,0,640
5,4602,0,654
5,4602,0,630
5,4602,0,649
5,4660,5,606
5,4660,6,604
5,4670,1,601
5,4650,5,607
5,4670,3,602
5,4660,4,605
5,4650,3,603
5,3800,1,107
5,3200,1,116
5,3200,0,113
5,3410,0,101
5,3420,0,110
5,4000,5,314
5,4000,2,305
5,4300,1,302
6,3810,0,124
6,3030,1,113
6,3000,1,100
6,3800,1,101
6,3210,2,117
6,3200,1,109
6,3220,1,103
6,3400,2,104
6,3410,0,111
6,3400,3,106
6,3410,0,107
6,4501,0,356
6,4100,0,300
6,4100,0,308
6,4100,0,313
6,4500,0,302
6,4000,3,314
6,4300,0,312
6,4340,0,301
6,4681,0,757
6,4653,0,756
6,4942,0,190
6,4674,0,753
6,4664,0,758
6,4666,0,761
6,4658,0,762
6,4657,0,755
6,4669,0,754
6,4672,0,759
6,4655,0,760
6,4662,0,763
6,4659,0,750
6,4680,1,607
6,4660,5,604
6,4650,3,605
6,4650,5,602
6,4670,3,601
6,4660,2,606
6,4670,4,603
6,3000,1,116
6,3810,0,114
6,3220,1,112
6,3400,2,110
6,3400,2,108
6,4340,0,310
