type:int,map:int,gridXNo:int,gridZNo:int,posX:float,posZ:float,height:float,label:std::string,icon:std::string,iconScale:float
28,2,44,38,-107.74,-22.58,20.9,坠星成兽,danger_boss,1
28,5,42,36,-67.718,-67.873,169.669,艾斯提,danger_boss,1
28,5,42,36,81.006,81.177,131.591,龙人士兵,danger_boss,1
16,5,42,36,103.09,-6.37,138.65,无头山妖,boss,1
16,5,42,36,-64.61,129.28,134.28,黑刀刺客,boss,1
16,5,42,36,103.06,-49.05,146.68,黑刀刺客,boss,1
16,5,42,36,-14.61,83.88,139.46,王室幽魂,boss,1
28,5,42,37,138.635,84.873,93.432,卡利亚骑士,danger_boss,1
28,1,42,38,-21.39,95.34,285.94,山顶冰龙,danger_boss,1
16,1,42,38,89.28,97,192.57,飞龙,boss,1
28,1,42,39,-86.08,0.89,271.38,山顶冰龙,danger_boss,1
61,1,42,39,60.72,-41.03,369.59,,target,1
28,5,43,36,113.57,-22.92,64.71,飞龙,danger_boss,1
16,5,43,37,115.29,36.86,64.72,黄金河马,boss,1
2,2,43,38,-15.78,85.03,100.56,玛莉卡教堂,church,1
16,1,43,38,5.69,124.82,191.39,雪山山妖,boss,1
28,2,43,38,-27.204,-26.386,69.789,英雄石像鬼,danger_boss,1
16,2,44,39,38.007,-100.726,54.318,亚人女王,boss,1
16,2,43,39,-8.159,-16.66,100.786,亚人女王,boss,1
16,2,44,39,-110.12,-0.022,-36.021,火焰主教,boss,1
16,2,43,39,-86.258,-79.923,189.49,红狼,boss,1
16,2,44,39,101.856,54.843,117.01,飞龙,boss,1
28,1,43,39,-34.26,81.69,210.12,山顶冰龙,danger_boss,1
28,1,43,39,-80.38,-50.31,283.6,山顶冰龙,danger_boss,1
16,1,43,39,-121.105,88.542,241.753,乌鸦群,boss,1
16,1,43,39,47.865,84.129,174.156,亚人剑圣,boss,1
28,1,43,39,-80.38,-50.31,283.6,山顶冰龙,danger_boss,1
16,1,42,39,-4.85,61.79,229.19,亚人剑圣,boss,1
28,2,44,38,-10.23,-4.65,-135.65,熔岩土龙,danger_boss,1
71,4,42,37,-0.57,167.02,-763.78,,great_crystal,0.8
71,4,42,37,33.55,-25.83,-692.61,,great_crystal,0.8
71,4,42,37,-48.62,-80.88,-736.53,,great_crystal,0.8
71,4,43,36,-135.95,-9.94,-609.82,,great_crystal,0.8
71,4,43,36,7.26,-54.43,-565.9,,great_crystal,0.8
71,4,43,37,31.84,-4.05,-762.72,,great_crystal,0.8
71,4,43,37,109.64,-126.27,-767.65,,great_crystal,0.8
71,4,43,37,-60.55,-60.1,-794.66,,great_crystal,0.8
71,4,43,37,-23.12,154.65,-769.79,,great_crystal,0.8
76,4,43,38,-123.32,-86.66,-676.36,,portal,0.6
71,4,43,38,-78.85,-37.22,-727.61,,great_crystal,0.8
2,4,43,39,-8.73,39.41,-716.77,玛莉卡教堂,church,1
71,4,43,39,59.03,-108.99,-702.59,,great_crystal,0.8
71,4,44,36,63.39,7.55,-749.83,,great_crystal,0.8
71,4,44,36,71.49,144.06,-760.16,,great_crystal,0.8
61,4,44,37,-59.16,-0.71,-787.13,,target,1
76,4,44,37,19.51,-58.76,-598.41,,portal,0.6
71,4,44,37,126.35,-25.02,-794.4,,great_crystal,0.8
2,4,44,38,-64.57,-8.08,-714.9,玛莉卡教堂,church,1
71,4,44,38,90.68,-91.61,-698.64,,great_crystal,0.8
71,4,44,38,-91.82,-28.64,-715.91,,great_crystal,0.8
71,4,45,36,61.23,-15.64,-844.97,,great_crystal,0.8
71,4,45,37,40.45,-42.6,-765.16,,great_crystal,0.8
71,4,45,37,-66.96,106.48,-726.2,,great_crystal,0.8
71,4,45,38,-31.3,-101.41,-649.75,,great_crystal,0.8
71,4,45,39,-83.51,-103.23,-681.62,,great_crystal,0.8
16,4,43,36,103.5,-19.8,-747.88,拷问官,undefined,1
16,4,43,36,23.25,84.07,-781.41,拷问老者,undefined,1
16,4,43,36,49.5,73.5,-756.28,灵火龙,undefined,1
16,4,43,36,23.25,84.07,-781.41,唤灵蜗牛,undefined,1
16,4,45,38,47.96,25.04,-691.48,教堂BOSS,undefined,1
16,4,45,38,-39.48,-13.15,-691.78,仿生泪滴或大螃蟹,undefined,1
16,4,45,38,47.96,25.04,-691.48,教堂BOSS,undefined,1
16,4,45,38,-39.48,-13.15,-691.78,仿生泪滴或大螃蟹,undefined,1
16,4,45,38,47.96,25.04,-691.48,教堂BOSS,undefined,1
16,4,45,38,-39.48,-13.15,-691.78,仿生泪滴或大螃蟹,undefined,1
16,4,42,37,22.05,-28.17,-691.29,咒剑士或血乌鸦群,undefined,1
16,4,42,37,5.15,-18.21,-741.65,血血怪或蜘蛛蝎,undefined,1
16,4,42,37,22.05,-28.17,-691.29,咒剑士或血乌鸦群,undefined,1
16,4,42,37,5.15,-18.21,-741.65,血血怪或蜘蛛蝎,undefined,1
16,4,45,36,-25.23,22.94,-778.78,红狼或紫血血怪,undefined,1
16,4,45,36,46.34,-2.45,-844.67,祖灵或熔炉骑士,undefined,1
16,4,45,36,-25.23,22.94,-778.78,红狼或紫血血怪,undefined,1
16,4,45,36,46.34,-2.45,-844.67,祖灵或熔炉骑士,undefined,1
16,4,43,39,-93.85,-111.71,-698.31,黄金河马或双神皮,undefined,1
16,4,43,39,-93.85,-111.71,-698.31,黄金河马或双神皮,undefined,1
16,4,44,36,86.19,69.5,-560.1,尊腐骑士,undefined,1
16,4,44,36,58.64,51.04,-570.91,神兽战士,undefined,1
16,4,45,37,-110.37,-5.23,-592.05,腐败黄金书化身,undefined,1
16,4,45,37,-108.34,-2.36,-592.05,神兽战士,undefined,1
16,4,42,39,28.53,-4.14,-698.44,左上矿洞-结晶人,undefined,1
