gridXNo:int,gridZNo:int,posX:float,posZ:float,height:float,icon:std::string,iconScale:float,label:std::string,visible:int,binding:int
43,36,103.5,-19.8,-747.88,boss,1,拷问官,255,5240
43,36,23.25,84.07,-781.41,boss,1,拷问老者,255,5240
43,36,49.5,73.5,-756.28,boss,1,灵火龙,255,5242
43,36,23.25,84.07,-781.41,boss,1,唤灵蜗牛,255,5242
45,38,47.96,25.04,-691.48,boss,1,睡眠BOSS,255,5245
45,38,-39.48,-13.15,-691.78,boss,1,大螃蟹群,255,5245
45,38,47.96,25.04,-691.48,boss,1,雷BOSS,255,5246
45,38,-39.48,-13.15,-691.78,boss,1,仿生泪滴群,255,5246
42,37,22.05,-28.17,-691.29,boss,1,血鸦群,255,5250
42,37,5.15,-18.21,-741.65,boss,1,血血怪,255,5250
42,37,22.05,-28.17,-691.29,boss,1,咒剑士,255,5252
42,37,5.15,-18.21,-741.65,boss,1,蜘蛛蝎,255,5252
45,36,-25.23,22.94,-778.78,boss,1,红狼,255,5255
45,36,46.34,-2.45,-844.67,boss,1,祖灵,255,5255
45,36,-25.23,22.94,-778.78,boss,1,紫血血怪,255,5257
45,36,46.34,-2.45,-844.67,boss,1,熔炉骑士,255,5257
