id,smallBaseMapId,variationId,label,sublabel,icon,visible,iconScale
20000,2000,0,地图事件,地图事件,mark,255,1
20100,2010,0,地图事件,地图事件,mark,255,1
20300,2030,0,地图事件,地图事件,mark,255,1
20400,2040,0,地图事件,地图事件,mark,255,1
20500,2050,0,地图事件,地图事件,mark,255,1
20600,2060,0,地图事件,地图事件,mark,255,1
20800,2080,0,地图事件,地图事件,mark,255,1
20900,2090,0,地图事件,地图事件,mark,255,1
21000,2100,0,地图事件,地图事件,mark,255,1
21100,2110,0,地图事件,地图事件,mark,255,1
21200,2120,0,地图事件,地图事件,mark,255,1
21300,2130,0,地图事件,地图事件,mark,255,1
21400,2140,0,地图事件,地图事件,mark,255,1
21500,2150,0,地图事件,地图事件,mark,255,1
30000,3000,0,要塞,骑士队长,fort,255,1
30001,3000,1,要塞,铁处女,fort,255,1
30300,3030,0,要塞,魔像,fort,255,1
30301,3030,1,要塞,结晶人们,fort,255,1
32000,3200,0,大营地,失乡骑士,encampment,255,1
32001,3200,1,大营地,老狮子,encampment,255,1
32100,3210,0,大营地,狮子混种,encampment,255,1
32101,3210,1,大营地,红狮子骑士,encampment,255,1
32102,3210,2,大营地,王城骑士,encampment,255,1
32200,3220,0,大营地,火焰战车,encampment,255,1
32201,3220,1,大营地,癫火山妖,encampment,255,1
34000,3400,0,废墟,归树看门犬,ruins,255,1
34001,3400,1,废墟,鲜血贵族,ruins,255,1
34002,3400,2,废墟,萨米尔古英雄,ruins,255,1
34003,3400,3,废墟,白金之子,ruins,255,1
34100,3410,0,废墟,调香师,ruins,255,1
34101,3410,1,废墟,堕落调香师,ruins,255,1
34102,3410,2,废墟,战斗魔法师,ruins,255,1
34103,3410,3,废墟,白金之子射手,ruins,255,1
34104,3410,4,废墟,卢恩熊,ruins,255,1
34200,3420,0,废墟,蚯蚓脸,ruins,255,1
34300,3430,0,废墟,法姆亚兹拉的兽人,ruins,255,1
37900,3790,0,商人,,township,255,0.7
38000,3800,0,大教堂,神谕使者,temple,255,1
38001,3800,1,大教堂,魔像,temple,255,1
38100,3810,0,大教堂,火焰修习武士,temple,255,1
38101,3810,1,大教堂,灵庙骑士,temple,255,1
40000,4000,0,魔法塔,正门上方,sorcerer_s_rise,255,1
40001,4000,1,魔法塔,小恶魔雕像,sorcerer_s_rise,255,1
40002,4000,2,魔法塔,枯树,sorcerer_s_rise,255,1
40003,4000,3,魔法塔,水池倒影,sorcerer_s_rise,255,1
40004,4000,4,魔法塔,外侧木平台,sorcerer_s_rise,255,1
40005,4000,5,魔法塔,风吹动的草丛,sorcerer_s_rise,255,1
40006,4000,6,魔法塔,假封印,sorcerer_s_rise,255,1
40007,4000,7,魔法塔,逃跑的树桩,sorcerer_s_rise,255,1
40008,4000,8,魔法塔,门旁蜡烛,sorcerer_s_rise,255,1
40009,4000,9,魔法塔,隐藏墙壁,sorcerer_s_rise,255,1
40900,4090,0,远古魔法塔,,rare_sorcerer_s_rise,255,1
40901,4090,1,远古魔法塔,,rare_sorcerer_s_rise,255,1
40904,4090,4,远古魔法塔,,rare_sorcerer_s_rise,255,1
40905,4090,5,远古魔法塔,,rare_sorcerer_s_rise,255,1
40907,4090,7,远古魔法塔,,rare_sorcerer_s_rise,255,1
40908,4090,8,远古魔法塔,,rare_sorcerer_s_rise,255,1
41000,4100,0,玛莉卡教堂,,church,255,1
41010,4101,0,玛莉卡教堂,老鼠,church,255,1
41011,4101,1,玛莉卡教堂,老鼠,church,255,1
41300,4130,0,小营地,祖灵之民,smallcamp,255,0.6
43000,4300,0,小营地,士兵和狗,smallcamp,255,0.6
43001,4300,1,小营地,弓箭士兵,smallcamp,255,0.6
43010,4301,0,小营地,流浪贵族,smallcamp,255,0.6
43011,4301,1,小营地,士兵和贵族,smallcamp,255,0.6
43020,4302,0,小营地,士兵,smallcamp,255,0.6
43300,4330,0,小营地,祖灵之民,smallcamp,255,0.6
43301,4330,1,小营地,祖灵之民,smallcamp,255,0.6
43400,4340,0,小营地,狗群,smallcamp,255,0.6
43401,4340,1,小营地,混种,smallcamp,255,0.6
43410,4341,0,小营地,亚人,smallcamp,255,0.6
43411,4341,1,小营地,老鼠和亚人,smallcamp,255,0.6
43501,4350,1,小营地,罪人,smallcamp,255,0.6
44010,4401,0,祷告小屋,,cabin,255,0.6
45000,4500,0,小营地,货车,cart,255,0.6
45010,4501,0,小营地,商队货车,cart,255,0.6
45510,4551,0,黑刀刺客,,boss,255,1
45520,4552,0,入侵事件,水泡现踪,task,0,1
45530,4553,0,入侵事件,格诺斯塔,task,0,1
45550,4555,0,入侵事件,恶魔利普拉,scale_bearing_merchant,0,1
46000,4600,0,入侵事件,黑夜势力,undefined,0,1
46010,4601,0,入侵事件,黑夜势力,undefined,0,1
46020,4602,0,入侵事件,黑夜势力,undefined,0,1
46030,4603,0,入侵事件,黑夜势力,undefined,0,1
46040,4604,0,入侵事件,黑夜势力,undefined,0,1
46050,4605,0,入侵事件,黑夜势力,undefined,0,1
46060,4606,0,入侵事件,黑夜势力,undefined,0,1
46502,4650,2,封印监牢,噩兆之子,evergaol,255,1.2
46503,4650,3,封印监牢,守墓战士,evergaol,255,1.2
46504,4650,4,封印监牢,法姆亚兹拉的兽人,evergaol,255,1.2
46505,4650,5,封印监牢,混种集团,evergaol,255,1.2
46510,4651,0,红狼,,boss,255,1
46520,4652,0,龙装大树守卫,,danger_boss,255,1
46530,4653,0,大树守卫,,danger_boss,255,1
46540,4654,0,卡利亚骑士,,danger_boss,255,1
46550,4655,0,狮子混种,,boss,255,1
46560,4656,0,铃珠猎人,,danger_boss,255,1
46570,4657,0,老狮子,,boss,255,1
46580,4658,0,飞龙,,danger_boss,255,1
46590,4659,0,王室幽魂,,boss,255,1
46602,4660,2,封印监牢,结晶人,evergaol,255,1.2
46603,4660,3,封印监牢,石肤王们,evergaol,255,1.2
46604,4660,4,封印监牢,失乡骑士,evergaol,255,1.2
46605,4660,5,封印监牢,诺克斯战士,evergaol,255,1.2
46606,4660,6,封印监牢,猎犬骑士,evergaol,255,1.2
46620,4662,0,黑夜骑兵,,boss,255,1
46630,4663,0,腐败树灵,,danger_boss,255,1
46640,4664,0,祖灵,,danger_boss,255,1
46650,4665,0,接肢贵族,,boss,255,1
46660,4666,0,黑剑眷属,,danger_boss,255,1
46670,4667,0,黄金树化身,,danger_boss,255,1
46680,4668,0,熔岩土龙,,danger_boss,255,1
46690,4669,0,萨米尔古英雄,,boss,255,1
46700,4670,0,封印监牢,龙人士兵,evergaol,255,1.2
46701,4670,1,封印监牢,神皮使徒,evergaol,255,1.2
46702,4670,2,封印监牢,神皮贵族,evergaol,255,1.2
46703,4670,3,封印监牢,熔炉骑士-剑盾,evergaol,255,1.2
46704,4670,4,封印监牢,熔炉骑士-大矛,evergaol,255,1.2
46710,4671,0,米兰达花朵,,boss,255,1
46720,4672,0,黄金河马,,boss,255,1
46740,4674,0,死亡仪式鸟,,danger_boss,255,1
46770,4677,0,亚人女王,,boss,255,1
46780,4678,0,入侵事件,蒙格特,undefined,0,1
46800,4680,0,封印监牢,死亡仪式鸟,evergaol,255,1.2
46801,4680,1,封印监牢,古龙,evergaol,255,1.2
46802,4680,2,封印监牢,神皮双人组,evergaol,255,1.2
46810,4681,0,地下室,黑刀刺客,undefined,255,1
46820,4682,0,地下室,红狼,undefined,255,1
46860,4686,0,地下室,狮子混种,undefined,255,1
46870,4687,0,地下室,铃珠猎人,undefined,255,1
46880,4688,0,地下室,王室幽魂,undefined,255,1
46910,4691,0,地下室,接肢贵族,undefined,255,1
46950,4695,0,地下室,萨米尔古英雄,undefined,255,1
47802,4780,2,贪食魔龙,,danger_boss,255,1
47902,4790,2,百足恶魔,,danger_boss,255,1
48002,4800,2,蜘蛛公爵,,danger_boss,255,1
48102,4810,2,熔铁恶魔,,danger_boss,255,1
48302,4830,2,冷冽谷的舞娘,,danger_boss,255,1
48402,4840,2,蒙格特,,danger_boss,255,1
