variationType,id,attachId,variationId,patternId
1,1,110,3030,0
0,2,110,3420,1
0,3,110,3420,2
1,4,110,3000,3
0,5,110,3220,4
0,6,110,3420,5
2,7,110,3400,6
0,8,110,3220,7
3,9,110,3410,8
3,10,110,3400,9
0,11,110,3810,10
0,12,110,3000,11
1,13,110,3030,12
0,14,110,3030,13
1,15,110,3810,14
1,16,110,3410,15
0,17,110,2100,16
3,18,110,3410,17
0,19,110,3000,18
0,20,110,3420,19
0,21,110,3430,20
0,22,110,3200,21
3,23,110,3400,22
0,24,110,3810,23
1,25,110,3400,24
2,26,110,3210,30
1,27,110,3800,31
0,28,110,3210,32
1,29,110,3030,33
0,30,110,3430,34
2,31,110,3400,35
1,32,110,3810,36
4,33,110,3410,37
0,34,110,3800,38
1,35,110,3410,39
0,36,110,3030,40
2,37,110,3400,41
1,38,110,3410,42
1,39,110,3800,43
3,40,110,3400,44
3,41,110,3400,45
0,42,110,3220,46
2,43,110,3400,47
0,44,110,3410,48
0,45,110,3430,49
0,46,110,3810,50
1,47,110,3410,51
0,48,110,3200,52
0,49,110,3420,53
1,50,110,3810,54
0,51,110,3200,55
0,52,110,3220,56
0,53,110,3410,57
1,54,110,3200,58
0,55,110,3220,59
0,56,110,3200,60
3,57,110,3400,61
0,58,110,3200,62
1,59,110,3810,63
1,60,110,3400,64
0,61,110,3220,70
0,62,110,3220,71
1,63,110,3800,72
3,64,110,3400,73
3,65,110,3410,74
0,66,110,3200,75
0,67,110,3400,76
1,68,110,3220,77
0,69,110,3410,78
1,70,110,3800,79
0,71,110,3430,80
4,72,110,3410,81
0,73,110,3810,82
0,74,110,3400,83
0,75,110,3210,84
1,76,110,3030,85
2,77,110,3410,86
0,78,110,3810,87
0,79,110,3000,88
1,80,110,3030,89
0,81,110,3210,90
3,82,110,3410,91
4,83,110,3410,92
0,84,110,3200,93
1,85,110,3200,94
0,86,110,3200,95
0,87,110,3410,96
4,88,110,3410,97
2,89,110,3410,98
0,90,110,3410,99
1,91,110,3030,100
0,92,110,3800,101
0,93,110,3200,102
0,94,110,3210,103
1,95,110,3800,104
0,96,110,3000,110
1,97,110,3000,111
1,98,110,3030,112
0,99,110,3810,113
0,100,110,3220,114
1,101,110,3800,115
1,102,110,3200,116
1,103,110,3810,117
1,104,110,3000,118
1,105,110,3400,119
1,106,110,3400,120
2,107,110,3210,121
1,108,110,3220,122
2,109,110,3210,123
1,110,110,3220,124
1,111,110,3410,125
1,112,110,3030,126
1,113,110,3810,127
0,114,110,3810,128
3,115,110,3410,129
2,116,110,3410,130
2,117,110,3400,131
1,118,110,3220,132
0,119,110,3800,133
1,120,110,3030,134
1,121,110,3220,135
0,122,110,3000,136
1,123,110,3000,137
0,124,110,3400,138
1,125,110,3410,139
0,126,110,3800,140
0,127,110,3030,141
1,128,110,3810,142
0,129,110,3200,143
0,130,110,3000,144
1,131,110,3200,150
