alias:std::string,path:std::string,width:int,height:int,format:int
bg,nightreign/assets/textures/bg.png,1269,713,4
tile_0_L0_00_00,nightreign/assets/textures/0/MENU_MapTile_L0_00_00.png,256,256,4
tile_0_L0_00_01,nightreign/assets/textures/0/MENU_MapTile_L0_00_01.png,256,256,4
tile_0_L0_00_02,nightreign/assets/textures/0/MENU_MapTile_L0_00_02.png,256,256,4
tile_0_L0_00_03,nightreign/assets/textures/0/MENU_MapTile_L0_00_03.png,256,256,4
tile_0_L0_00_04,nightreign/assets/textures/0/MENU_MapTile_L0_00_04.png,256,256,4
tile_0_L0_00_05,nightreign/assets/textures/0/MENU_MapTile_L0_00_05.png,256,256,4
tile_0_L0_01_00,nightreign/assets/textures/0/MENU_MapTile_L0_01_00.png,256,256,4
tile_0_L0_01_01,nightreign/assets/textures/0/MENU_MapTile_L0_01_01.png,256,256,4
tile_0_L0_01_02,nightreign/assets/textures/0/MENU_MapTile_L0_01_02.png,256,256,4
tile_0_L0_01_03,nightreign/assets/textures/0/MENU_MapTile_L0_01_03.png,256,256,4
tile_0_L0_01_03_B1,nightreign/assets/textures/0/MENU_MapTile_L0_01_03_B1.png,256,256,4
tile_0_L0_01_04,nightreign/assets/textures/0/MENU_MapTile_L0_01_04.png,256,256,4
tile_0_L0_01_05,nightreign/assets/textures/0/MENU_MapTile_L0_01_05.png,256,256,4
tile_0_L0_02_00,nightreign/assets/textures/0/MENU_MapTile_L0_02_00.png,256,256,4
tile_0_L0_02_01,nightreign/assets/textures/0/MENU_MapTile_L0_02_01.png,256,256,4
tile_0_L0_02_01_B1,nightreign/assets/textures/0/MENU_MapTile_L0_02_01_B1.png,256,256,4
tile_0_L0_02_02,nightreign/assets/textures/0/MENU_MapTile_L0_02_02.png,256,256,4
tile_0_L0_02_03,nightreign/assets/textures/0/MENU_MapTile_L0_02_03.png,256,256,4
tile_0_L0_02_03_B1,nightreign/assets/textures/0/MENU_MapTile_L0_02_03_B1.png,256,256,4
tile_0_L0_02_04,nightreign/assets/textures/0/MENU_MapTile_L0_02_04.png,256,256,4
tile_0_L0_02_04_B1,nightreign/assets/textures/0/MENU_MapTile_L0_02_04_B1.png,256,256,4
tile_0_L0_02_05,nightreign/assets/textures/0/MENU_MapTile_L0_02_05.png,256,256,4
tile_0_L0_03_00,nightreign/assets/textures/0/MENU_MapTile_L0_03_00.png,256,256,4
tile_0_L0_03_01,nightreign/assets/textures/0/MENU_MapTile_L0_03_01.png,256,256,4
